training:  19%|█▉        | 7744/40000 [01:48<07:30, 71.61it/s]
itr: 0 lr: 2.494e-07 train loss: 4.191963 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.36s)
itr: 250 lr: 6.259e-05 train loss: 4.002978 train token_acc: 0.0077 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.53s)
itr: 500 lr: 1.000e-04 train loss: 3.413512 train token_acc: 0.0995 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 750 lr: 9.998e-05 train loss: 2.842638 train token_acc: 0.2138 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1000 lr: 9.994e-05 train loss: 2.400831 train token_acc: 0.3112 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1250 lr: 9.989e-05 train loss: 2.088751 train token_acc: 0.3472 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1500 lr: 9.981e-05 train loss: 1.870947 train token_acc: 0.3375 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1750 lr: 9.972e-05 train loss: 1.705489 train token_acc: 0.3847 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.50s)
itr: 2000 lr: 9.960e-05 train loss: 1.558744 train token_acc: 0.4641 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2250 lr: 9.947e-05 train loss: 1.428800 train token_acc: 0.5595 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2500 lr: 9.931e-05 train loss: 1.342224 train token_acc: 0.6572 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2750 lr: 9.914e-05 train loss: 1.286444 train token_acc: 0.6910 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3000 lr: 9.895e-05 train loss: 1.243842 train token_acc: 0.7002 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3250 lr: 9.874e-05 train loss: 1.209564 train token_acc: 0.7060 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3500 lr: 9.851e-05 train loss: 1.183819 train token_acc: 0.7162 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3750 lr: 9.826e-05 train loss: 1.163149 train token_acc: 0.7175 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
