training:  19%|█▉        | 7742/40000 [01:08<04:45, 113.11it/s]
itr: 0 lr: 2.494e-07 train loss: 4.185238 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.166376 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.24s)
itr: 500 lr: 1.000e-04 train loss: 4.144059 train token_acc: 0.0646 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 750 lr: 9.998e-05 train loss: 4.081524 train token_acc: 0.1161 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1000 lr: 9.994e-05 train loss: 3.980690 train token_acc: 0.1096 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1250 lr: 9.989e-05 train loss: 3.805845 train token_acc: 0.1208 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1500 lr: 9.981e-05 train loss: 3.464720 train token_acc: 0.1332 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1750 lr: 9.972e-05 train loss: 3.130419 train token_acc: 0.1374 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2000 lr: 9.960e-05 train loss: 2.890226 train token_acc: 0.1335 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2250 lr: 9.947e-05 train loss: 2.678882 train token_acc: 0.1462 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2500 lr: 9.931e-05 train loss: 2.496578 train token_acc: 0.1665 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2750 lr: 9.914e-05 train loss: 2.331560 train token_acc: 0.2032 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3000 lr: 9.895e-05 train loss: 2.191729 train token_acc: 0.2394 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3250 lr: 9.874e-05 train loss: 2.088914 train token_acc: 0.2760 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3500 lr: 9.851e-05 train loss: 2.007026 train token_acc: 0.3027 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3750 lr: 9.826e-05 train loss: 1.933434 train token_acc: 0.3115 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4000 lr: 9.799e-05 train loss: 1.875203 train token_acc: 0.3352 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4250 lr: 9.771e-05 train loss: 1.831569 train token_acc: 0.3490 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4500 lr: 9.740e-05 train loss: 1.795907 train token_acc: 0.3533 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4750 lr: 9.708e-05 train loss: 1.771698 train token_acc: 0.3571 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5000 lr: 9.674e-05 train loss: 1.746985 train token_acc: 0.3654 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5250 lr: 9.638e-05 train loss: 1.734397 train token_acc: 0.3653 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5500 lr: 9.600e-05 train loss: 1.717290 train token_acc: 0.3703 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5750 lr: 9.561e-05 train loss: 1.703035 train token_acc: 0.3756 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 6000 lr: 9.519e-05 train loss: 1.687761 train token_acc: 0.3819 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 6250 lr: 9.476e-05 train loss: 1.682610 train token_acc: 0.3868 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 6500 lr: 9.432e-05 train loss: 1.668913 train token_acc: 0.3875 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 6750 lr: 9.385e-05 train loss: 1.656412 train token_acc: 0.3909 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 7000 lr: 9.337e-05 train loss: 1.652686 train token_acc: 0.3959 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 7250 lr: 9.287e-05 train loss: 1.635701 train token_acc: 0.4016 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 7500 lr: 9.235e-05 train loss: 1.628241 train token_acc: 0.4070 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 7750 lr: 9.182e-05 train loss: 1.622405 train token_acc: 0.4140 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 8000 lr: 9.127e-05 train loss: 1.613666 train token_acc: 0.4251 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 8250 lr: 9.071e-05 train loss: 1.603772 train token_acc: 0.4260 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 8500 lr: 9.013e-05 train loss: 1.592546 train token_acc: 0.4265 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 8750 lr: 8.953e-05 train loss: 1.586560 train token_acc: 0.4260 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 9000 lr: 8.892e-05 train loss: 1.584756 train token_acc: 0.4323 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 9250 lr: 8.829e-05 train loss: 1.575429 train token_acc: 0.4351 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 9500 lr: 8.765e-05 train loss: 1.565142 train token_acc: 0.4338 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 9750 lr: 8.700e-05 train loss: 1.558138 train token_acc: 0.4337 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 10000 lr: 8.632e-05 train loss: 1.546525 train token_acc: 0.4411 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 10250 lr: 8.564e-05 train loss: 1.538286 train token_acc: 0.4445 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 10500 lr: 8.494e-05 train loss: 1.529317 train token_acc: 0.4485 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 10750 lr: 8.423e-05 train loss: 1.520681 train token_acc: 0.4506 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 11000 lr: 8.351e-05 train loss: 1.516743 train token_acc: 0.4482 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 11250 lr: 8.277e-05 train loss: 1.508372 train token_acc: 0.4570 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 11500 lr: 8.202e-05 train loss: 1.497194 train token_acc: 0.4671 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 11750 lr: 8.125e-05 train loss: 1.494042 train token_acc: 0.4648 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 12000 lr: 8.048e-05 train loss: 1.489802 train token_acc: 0.4652 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 12250 lr: 7.969e-05 train loss: 1.485593 train token_acc: 0.4666 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 12500 lr: 7.889e-05 train loss: 1.477105 train token_acc: 0.4715 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 12750 lr: 7.808e-05 train loss: 1.469274 train token_acc: 0.4760 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 13000 lr: 7.726e-05 train loss: 1.470474 train token_acc: 0.4759 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 13250 lr: 7.643e-05 train loss: 1.460501 train token_acc: 0.4778 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 13500 lr: 7.559e-05 train loss: 1.458810 train token_acc: 0.4761 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
